ManualStartDateTime,ManualEndDateTime,Label
2022-11-14 19:14:30,2022-11-14 19:14:36,NA
2022-11-14 19:14:37,2022-11-14 19:15:13,NA
2022-11-14 19:15:14,2022-11-14 19:15:14,NA
2022-11-14 19:15:15,2022-11-14 19:15:21,NA
2022-11-14 19:15:22,2022-11-14 19:15:23,NA
2022-11-14 19:15:24,2022-11-14 19:15:37,NA
2022-11-14 19:15:38,2022-11-14 19:15:39,NA
2022-11-14 19:17:05,2022-11-14 19:17:11,NA
2022-11-14 19:17:12,2022-11-14 19:18:00,NA
2022-11-14 19:18:01,2022-11-14 19:18:01,NA
2022-11-14 19:18:02,2022-11-14 19:18:05,NA
2022-11-14 19:18:06,2022-11-14 19:18:13,NA
2022-11-14 19:18:14,2022-11-14 19:18:28,NA
2022-11-14 19:18:29,2022-11-14 19:18:34,NA
2022-11-14 19:18:35,2022-11-14 19:18:45,NA
2022-11-14 19:18:46,2022-11-14 19:18:48,NA
2022-11-14 19:18:49,2022-11-14 19:18:57,NA
2022-11-14 19:18:58,2022-11-14 19:18:58,NA
2022-11-14 19:18:59,2022-11-14 19:19:17,NA
2022-11-14 19:19:18,2022-11-14 19:19:18,NA
2022-11-14 19:19:19,2022-11-14 19:20:06,NA
2022-11-14 19:20:07,2022-11-14 19:20:10,NA
2022-11-14 19:20:11,2022-11-14 19:20:33,NA
2022-11-14 19:20:34,2022-11-14 19:20:34,NA
2022-11-14 19:20:35,2022-11-14 19:20:40,NA
2022-11-14 19:20:41,2022-11-14 19:20:44,NA
2022-11-14 19:20:45,2022-11-14 19:20:59,NA
2022-11-14 19:21:00,2022-11-14 19:21:02,NA
2022-11-14 19:21:03,2022-11-14 19:21:08,NA
2022-11-14 19:21:09,2022-11-14 19:21:12,NA
2022-11-14 19:21:13,2022-11-14 19:21:29,NA
2022-11-14 19:21:30,2022-11-14 19:21:31,NA
2022-11-14 19:21:32,2022-11-14 19:21:33,NA
2022-11-14 19:21:34,2022-11-14 19:21:40,NA
2022-11-14 19:21:41,2022-11-14 19:21:41,NA
2022-11-14 19:21:42,2022-11-14 19:21:51,NA
2022-11-14 19:21:52,2022-11-14 19:21:58,NA
2022-11-14 19:21:59,2022-11-14 19:22:00,NA
2022-11-14 19:22:01,2022-11-14 19:22:13,NA
2022-11-14 19:22:14,2022-11-14 19:22:20,NA
2022-11-14 19:22:21,2022-11-14 19:22:38,NA
2022-11-14 19:22:39,2022-11-14 19:22:40,NA
2022-11-14 19:22:41,2022-11-14 19:22:55,NA
2022-11-14 19:22:56,2022-11-14 19:22:56,NA
2022-11-14 19:22:57,2022-11-14 19:23:24,NA
2022-11-14 19:23:25,2022-11-14 19:23:27,NA
2022-11-14 19:23:28,2022-11-14 19:23:33,NA
2022-11-14 19:23:34,2022-11-14 19:23:42,NA
2022-11-14 19:23:43,2022-11-14 19:23:45,NA
2022-11-14 19:23:46,2022-11-14 19:23:46,NA
2022-11-14 19:23:47,2022-11-14 19:24:40,NA
2022-11-14 20:27:21,2022-11-14 20:27:41,NA
2022-11-14 22:35:02,2022-11-14 22:35:59,NA
2022-11-14 22:36:00,2022-11-14 22:38:18,NA
2022-11-15 16:16:52,2022-11-15 16:25:00,NA
2022-11-15 16:25:01,2022-11-15 16:25:27,NA
2022-11-15 17:58:46,2022-11-15 17:58:47,NA
2022-11-15 22:11:40,2022-11-15 22:11:48,NA
2022-11-15 22:11:49,2022-11-15 22:11:59,NA
2022-11-15 22:12:00,2022-11-15 22:15:24,NA
2022-11-16 16:01:16,2022-11-16 16:02:00,NA
2022-11-17 18:33:50,2022-11-17 18:33:53,NA
2022-11-17 22:03:00,2022-11-17 22:04:56,NA
2022-11-18 14:59:13,2022-11-18 15:00:00,NA
2022-11-18 17:31:49,2022-11-18 17:32:15,NA
2022-11-18 18:30:00,2022-11-18 18:35:55,NA
2022-11-21 15:19:13,2022-11-21 15:35:00,NA
2022-11-21 22:22:07,2022-11-21 22:37:40,NA
2022-11-22 16:36:00,2022-11-22 16:40:00,NA
2022-11-22 16:40:01,2022-11-22 16:40:50,NA
2022-11-22 20:46:15,2022-11-22 20:46:19,NA
2022-11-22 22:17:58,2022-11-22 22:18:07,NA
2022-11-22 22:18:08,2022-11-22 22:18:38,NA
2022-11-23 16:18:43,2022-11-23 16:28:00,NA
2022-11-23 22:02:04,2022-11-23 22:10:21,NA
2022-11-28 16:24:19,2022-11-28 16:30:00,NA
2022-11-29 17:25:23,2022-11-29 17:29:21,NA
